Northland,144
Auckland,345
Waikato,324
Bay of Plenty,174
Gisborne,52
Hawkes Bay,92
Taranaki,55
Manawatu/Wanganui,138
Wellington,92
Nelson/Marlborough,53
West Coast,26
Canterbury,187
Otago,65
Southland,61
,1808
